latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
20.26543,-105.1755,304.74,0.59,0.7,2022-05-08,0748,N,nominal,2.0NRT,288.86,1.07,N
20.13505,-103.64803,304.3,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,287.48,3.54,N
20.13434,-103.64018,299.42,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,286.49,3.3,N
20.12863,-103.64335,350.01,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,292.01,7.31,N
20.12829,-103.63961,346.16,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,290.91,7.31,N
20.12897,-103.64719,305.5,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,287.6,6.11,N
20.12795,-103.63587,296.41,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,286.08,2.42,N
20.12229,-103.63953,303.52,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,283.42,7.31,N
19.34537,-96.70467,311.08,0.5,0.41,2022-05-08,0748,N,nominal,2.0NRT,296.25,1.49,N
19.34159,-96.70509,305.41,0.5,0.41,2022-05-08,0748,N,nominal,2.0NRT,295.09,1.49,N
19.33842,-96.71023,326.63,0.5,0.41,2022-05-08,0748,N,nominal,2.0NRT,296.16,3.12,N
19.33908,-96.71526,307.76,0.5,0.41,2022-05-08,0748,N,nominal,2.0NRT,295.25,2.37,N
19.34552,-96.70668,314.75,0.5,0.41,2022-05-08,0748,N,nominal,2.0NRT,295.4,3.02,N
18.38709,-90.46412,310.41,0.42,0.38,2022-05-08,0748,N,nominal,2.0NRT,296.12,1.03,N
19.33859,-96.71227,328.39,0.5,0.41,2022-05-08,0748,N,nominal,2.0NRT,296.16,4.58,N
18.38362,-90.46475,307.83,0.42,0.38,2022-05-08,0748,N,nominal,2.0NRT,295.75,0.93,N
20.13753,-103.64616,298.4,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,286.18,1.62,N
20.13714,-103.64221,304.37,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,286.64,1.52,N
20.13144,-103.64525,323.92,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,290.18,5.45,N
20.13107,-103.64141,355.17,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,292.67,5.27,N
20.13182,-103.64917,297.9,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,286.5,5.45,N
20.1307,-103.63762,307.66,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,287.22,5.27,N
20.12504,-103.64116,342.79,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,287.77,5.27,N
18.64607,-92.1701,332.68,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,299.29,7.01,N
20.26662,-105.18195,306.8,0.59,0.7,2022-05-08,0748,N,nominal,2.0NRT,289.47,1.72,N
20.26609,-105.17587,306.41,0.59,0.7,2022-05-08,0748,N,nominal,2.0NRT,289.5,1.58,N
20.12541,-103.64495,308.05,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,285.1,5.45,N
20.12468,-103.63737,319.07,0.47,0.64,2022-05-08,0748,N,nominal,2.0NRT,285.95,5.27,N
18.64276,-92.17068,327.12,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,297.94,1.97,N
17.97897,-88.26512,304.22,0.54,0.42,2022-05-08,0748,N,nominal,2.0NRT,288.11,1.12,N
17.97805,-88.26001,309.93,0.54,0.42,2022-05-08,0748,N,nominal,2.0NRT,288.52,1.73,N
19.97719,-102.95567,297.63,0.42,0.61,2022-05-08,0748,N,nominal,2.0NRT,285,0.87,N
19.29658,-97.15684,305.29,0.53,0.42,2022-05-08,0748,N,nominal,2.0NRT,288.74,1.03,N
19.29593,-97.15931,307.59,0.53,0.42,2022-05-08,0748,N,nominal,2.0NRT,289.42,1.75,N
19.24919,-97.1037,331.16,0.53,0.42,2022-05-08,0748,N,nominal,2.0NRT,291.2,6.13,N
19.24593,-97.10864,328.5,0.53,0.42,2022-05-08,0748,N,nominal,2.0NRT,292.01,3.16,N
19.24203,-97.10882,310.13,0.53,0.42,2022-05-08,0748,N,nominal,2.0NRT,287.86,3.16,N
19.91668,-103.05939,312.64,0.43,0.62,2022-05-08,0748,N,nominal,2.0NRT,285.85,1.97,N
19.91623,-103.05473,297.89,0.43,0.62,2022-05-08,0748,N,nominal,2.0NRT,285.7,1.27,N
19.91096,-103.05997,324,0.43,0.62,2022-05-08,0748,N,nominal,2.0NRT,286.6,5.2,N
19.91047,-103.05491,317.52,0.43,0.62,2022-05-08,0748,N,nominal,2.0NRT,286.08,3.72,N
18.29176,-90.85881,308.29,0.41,0.37,2022-05-08,0748,N,nominal,2.0NRT,296.04,0.73,N
18.29111,-90.85493,306.57,0.41,0.37,2022-05-08,0748,N,nominal,2.0NRT,295.92,0.73,N
18.49983,-92.18846,327.27,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,296.98,1.76,N
18.1824,-90.33997,307.04,0.43,0.38,2022-05-08,0748,N,nominal,2.0NRT,295.74,1.08,N
19.03608,-96.11133,315.21,0.47,0.4,2022-05-08,0748,N,nominal,2.0NRT,295.68,1.52,N
19.70421,-101.74486,302.63,0.35,0.57,2022-05-08,0748,N,nominal,2.0NRT,284.66,2.64,N
19.70386,-101.74166,316.26,0.35,0.57,2022-05-08,0748,N,nominal,2.0NRT,287.51,1.29,N
19.70353,-101.73849,301.74,0.35,0.57,2022-05-08,0748,N,nominal,2.0NRT,284.77,1.29,N
19.69851,-101.7411,296.85,0.35,0.57,2022-05-08,0748,N,nominal,2.0NRT,285.49,1.29,N
19.61714,-101.13196,298.91,0.63,0.54,2022-05-08,0748,N,nominal,2.0NRT,286.23,1.46,N
19.67766,-101.84595,305.54,0.35,0.57,2022-05-08,0748,N,nominal,2.0NRT,282.96,0.94,N
19.67228,-101.84548,308.43,0.35,0.57,2022-05-08,0748,N,nominal,2.0NRT,284.06,1.44,N
18.06411,-90.26466,307.42,0.43,0.38,2022-05-08,0748,N,nominal,2.0NRT,295.26,0.83,N
18.0634,-90.26058,318.82,0.43,0.38,2022-05-08,0748,N,nominal,2.0NRT,295.63,1.56,N
18.24495,-91.61588,314.15,0.4,0.37,2022-05-08,0748,N,nominal,2.0NRT,296.44,1.04,N
18.51658,-93.36978,309.22,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,296.92,0.54,N
18.48886,-93.34459,318.38,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,297.09,1.41,N
17.97903,-90.25375,306.16,0.44,0.38,2022-05-08,0748,N,nominal,2.0NRT,294.32,0.63,N
17.97834,-90.24966,306.63,0.44,0.38,2022-05-08,0748,N,nominal,2.0NRT,294.14,0.81,N
18.06489,-90.80191,306.83,0.42,0.37,2022-05-08,0748,N,nominal,2.0NRT,295.27,0.64,N
17.97413,-90.26731,315.36,0.44,0.38,2022-05-08,0748,N,nominal,2.0NRT,295.15,1.14,N
17.97063,-90.26797,313.54,0.44,0.38,2022-05-08,0748,N,nominal,2.0NRT,294.83,1.14,N
19.82257,-104.50153,336.74,0.53,0.67,2022-05-08,0748,N,nominal,2.0NRT,292.29,3.87,N
18.44085,-93.1663,331.06,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,298.45,3.42,N
18.44028,-93.16267,342.3,0.38,0.36,2022-05-08,0748,N,nominal,2.0NRT,298.73,5.1,N
19.82291,-104.50531,307.23,0.53,0.67,2022-05-08,0748,N,nominal,2.0NRT,290.32,3.87,N
18.48919,-93.50167,325.05,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,296.27,1.11,N
18.48587,-93.50223,319.96,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,296.28,1.23,N
